ID,MJW,sex,SVL,tail,headwidth,jawlength,casqheight,snoutcasque,snoutcasque2,righthorn,righthorn2,lefthorn,lefthorn2,bottomhorn,bottomhorn2
23542,,F,108,97,14.16,22.99,18.91,29.67,,,,,,,
23543,,M,135,130,18.63,30.03,25.74,37.16,39.31,17.76,,18.13,,18.82,
23544,,M,87,74,11.8,19.69,16.4,23.16,24.99,6.5,,6.31,,649,
23545,,F,112,91,14.35,23.42,18.28,29.48,,,,,,,
23546,,,100,no tail,13.11,21.11,17.7,26.71,28.08,10.65,,10.79,,12.4,
101b,873,M,105,100,15.81,25.39,19.79,31.98,32.78,20.64,21.88,20.48,21.74,20.08,21.33
101c,841,M,132,125,19.37,30.39,25.11,39.18,40.67,19.47,21.55,21.36,22.57,22.1,24.12
104b,854,F,125,116,18.1,28.16,22.7,35.45,,,,,,,
104c,834,M,130,125,18.29,29.46,24.92,37.48,39.31,21.75,23.38,21.09,22.79,21.62,24.08
105c,830,F,93,83,13.47,22.59,17.17,28.38,,,,,,,
21b,859,F,102,87,13.86,23.53,16.59,28.77,,,,,,,
21d,879,M,95,86,13.89,21.94,17.99,27.68,28.4,9.22,11.37,9.25,10.9,b/k,b/k
2c,866,M,108,98,16.08,24.92,19.72,31.24,31.74,19.22,20.74,18.77,20.07,15.93,18.27
40c,817,M,120,113,16.33,26.55,20.62,32.93,34.13,16.67,18.44,17.14,18.38,18.82,20.32
44b,872,M,105,96,15.51,24.63,18.77,29.61,30.42,18.22,19.61,18.45,19.99,17.67,19.45
51c,852,F,135,117+,20.35,29.07,23.93,37.93,,,,,,,
66b,858,,91,75,12.33,21.12,17.39,26.51,27,7.53,8.58,7.13,8.41,6.72,8.04
67b,827,M,91,75,12.93,21.09,16.55,25.92,26.83,7.68,8.42,6.57,8.99,7.71,10.83
69b,839,F,118,93,18.07,25.77,21.52,33.23,,,,,,,
73b,868,M,99,88,14.31,22.25,18.33,28.42,28.83,15.58,16.74,15.49,16.47,15.65,17.66
73d,878,M,122,107,18.51,28.53,23.56,28.39,36.27,18.07,19.5,17.82,19.34,18.48,20.69
78b,865,M,115,110,16.77,25.5,21.6,32.01,33.2,18.04,19.55,17.75,19.36,18.14,19.37
78d,884,F,127,95,18.77,29.72,26.45,38.27,,,,,,,
79b,843,F,120,97,16.91,27.75,21.38,33.71,,,,,,,
79c,831,M,122,,17.2,26.31,22.27,35.28,34.63,20.91,22.42,20.27,21.92,b/k,b/k
79d,874,F,105,103,17.65,26.9,23.26,33.79,,,,,,,
80B,809,M,115,115,16.14,25.2,21.35,31.15,33.06,18.81,,18.97,,18.15,
80c,848,F,100,82,13.66,23.1,17.77,28.44,,,,,,,
80d,882,F,102,88,15.17,23,19.07,28.16,,,,,,,
81b,832,F,80,70,12.16,20.1,14.99,25.03,,,,,,,
81c,838,M,92,86,13.39,21.47,16.06,26.31,27.95,9.3,10.91,8.95,10.96,10.3,11.46
82c,847,M,107,95,15.23,24.67,21.3,30.92,31.71,12.42,14.29,12.3,14.19,13.92,15.58
83b,826,M,114,104,15.39,24.78,19.02,30.81,31.87,11.3,12.44,11.59,13.49,11.65,12.46
84b,861,M,94,82,13.64,21.91,19.14,27.82,28.4,13.39,14.38,12.9,14.09,13.2,14.36
85c,869,F,82,68,11.77,19.51,14.46,23.95,,,,,,,
85d,885,M,73,62,10.45,17.55,12.72,20.86,21.73,4.37,5.67,4.51,5.57,4.61,5.57
89b,816,M,111,91,14.59,25.69,18.5,31,31.29,14.8,16.16,15.52,16.64,14.51,15.69
90b,862,M,78,70,11.6,20.15,15.09,24.54,25.62,8.44,9.22,7.55,8.9,8.33,9.85
90d,883,F,69,55,10.82,16.74,13.42,20.26,,,,,,,
91b,842,F,117,103,15.95,26.84,20.76,32.99,,,,,,,
91c,813,M,119,113,16.33,27.12,21.65,33.02,34.52,18.06,19.53,17,19.38,17.53,19.68
92b,835,F,75,72,11.62,17.79,14.31,22.47,,,,,,,
92d,886,M,128,118,17.24,26.75,22.34,33.63,34.44,16.14,18.38,15.87,18.27,17.99,20.16
95c,867,,88,b/k,11.45,19.88,15.68,24.81,25.53,5.96,6.44,5.23,5.72,5.85,7.46
99b,851,M,85,78,12.25,20.4,15.62,24.83,24.96,4.48,5.54,4.64,5.28,4.31,5.05
99d,881,F,93,88,14.11,22.41,17.82,27.88,,,,,,,
9c,819,F,92,81,12.77,21.41,16.55,26.91,,,,,,,
s1,870,M,96,89,13.11,21.33,17.86,27.3,28.2,10.9,12.15,b/k,b/k,11.76,12.86
s2,822,M,70,63,10.56,16.68,13.54,20.08,20.45,3.84,4.76,3.86,5.27,4.11,5.24
s3,823,M,84,73,11.54,19.34,15.7,23.85,24.34,6.72,7.71,6.27,6.69,7.55,8.33
s4,810,M,105,100,15,23.7,19.62,29.7,30.27,14.78,16.15,14.36,15.93,15.64,16.55
s5,853,M,123,117,17.34,28.33,23.46,35.76,36.63,19.33,20.64,18.63,20.66,18.17,20.23
